name,dark male,dark female,light male,light female,var,precision,recall,accuracy
results_lucas/train1_model0.pt,84.906,95.572,98.446,99.322,44.002,81.658,94.646,86.693
results_lucas/train1_model1.pt,85.849,97.048,97.150,99.322,37.046,85.939,94.803,89.646
results_lucas/train1_model2.pt,81.132,94.096,90.674,94.237,37.940,85.468,89.843,87.283
results_lucas/train1_model3.pt,86.478,94.834,96.373,96.271,22.340,86.149,93.543,89.252
results_lucas/train1_model4.pt,86.792,95.203,97.668,96.949,25.152,84.833,94.252,88.701
results_lucas/train2_model0.pt,89.308,95.572,98.964,100.000,23.247,77.510,96.063,84.094
results_lucas/train2_model1.pt,89.308,96.679,98.964,100.000,23.266,81.047,96.299,86.890
results_lucas/train2_model2.pt,90.252,97.786,98.964,99.661,18.883,80.577,96.693,86.693
results_lucas/train2_model3.pt,88.679,94.834,97.668,100.000,23.917,78.893,95.354,84.921
results_lucas/train2_model4.pt,86.792,95.203,97.927,98.983,30.513,82.466,94.803,87.323
results_lucas/train3_model0.pt,92.138,96.679,99.223,100.000,12.560,78.786,97.087,85.472
results_lucas/train3_model1.pt,91.195,98.155,98.964,99.661,15.323,77.193,97.008,84.173
results_lucas/train3_model2.pt,88.050,97.048,98.964,100.000,29.693,79.843,96.063,85.906
results_lucas/train3_model3.pt,89.308,96.310,98.705,100.000,22.722,80.066,96.142,86.102
results_lucas/train3_model4.pt,89.308,97.048,98.705,98.983,20.697,78.457,96.063,84.843
results_lucas/train4_model0.pt,88.67924528301887,95.9409594095941,99.48186528497409,100.0,27.239,80.701,96.142,86.575
results_lucas/train5_model0.pt,92.13836477987421,97.04797047970479,98.44559585492227,99.32203389830508,10.282,78.480,96.772,85.118
results_lucas/train4_model1.pt,91.19496855345912,96.30996309963099,99.48186528497409,100.0,16.359,82.055,96.850,87.835
results_lucas/train5_model1.pt,91.50943396226415,97.04797047970479,98.44559585492227,99.66101694915255,12.958,79.896,96.693,86.181
results_lucas/train4_model2.pt,89.623,96.679,97.927,99.322,18.611,79.712,95.906,85.748
results_lucas/train5_model2.pt,90.566,95.941,98.446,99.322,15.510,84.149,96.142,89.016
results_lucas/train4_model3.pt,92.138,97.417,98.964,99.661,11.579,79.754,97.087,86.220
results_lucas/train5_model3.pt,89.937,97.048,98.964,100.000,20.564,78.893,96.535,85.354
results_lucas/train4_model4.pt,91.509,96.679,99.223,99.661,14.019,77.068,96.850,84.016
results_lucas/train5_model4.pt,88.365,97.048,98.446,99.661,26.240,81.146,95.906,86.811
results_models/train7_model0.pt,83.019,95.203,97.927,98.644,52.887,84.408,93.780,88.228
results_models/train7_model1.pt,84.906,95.572,95.078,96.271,29.048,86.574,92.913,89.252
results_models/train7_model2.pt,85.849,95.572,98.705,98.983,37.819,83.161,94.882,87.835
results_models/train7_model3.pt,80.818,92.251,94.819,95.593,46.953,86.907,90.945,88.622
